Middle Position: 0.1466 | Thumb Position: 0 | Amplitude: 0.122927
Middle Position: 0.584245 | Thumb Position: 0.388895 | Amplitude: 0.0577115
Middle Position: 0.590978 | Thumb Position: 0.394878 | Amplitude: 0.0567077
Middle Position: 0.597711 | Thumb Position: 0.400861 | Amplitude: 0.0557065
Middle Position: 0.604444 | Thumb Position: 0.406844 | Amplitude: 0.0547116
Middle Position: 0.611177 | Thumb Position: 0.412827 | Amplitude: 0.0537053
Middle Position: 0.61791 | Thumb Position: 0.41881 | Amplitude: 0.052718
Middle Position: 0.624643 | Thumb Position: 0.424793 | Amplitude: 0.0517155
Middle Position: 0.631376 | Thumb Position: 0.430776 | Amplitude: 0.0507245
Middle Position: 0.638109 | Thumb Position: 0.436759 | Amplitude: 0.0497251
Middle Position: 0.644842 | Thumb Position: 0.442742 | Amplitude: 0.0487553
Middle Position: 0.651575 | Thumb Position: 0.448725 | Amplitude: 0.0477598
Middle Position: 0.658308 | Thumb Position: 0.454708 | Amplitude: 0.0467837
Middle Position: 0.665041 | Thumb Position: 0.460691 | Amplitude: 0.0458176
Middle Position: 0.671774 | Thumb Position: 0.466674 | Amplitude: 0.0448404
Middle Position: 0.678507 | Thumb Position: 0.472657 | Amplitude: 0.0438703
Middle Position: 0.68524 | Thumb Position: 0.47864 | Amplitude: 0.0429003
Middle Position: 0.691973 | Thumb Position: 0.484623 | Amplitude: 0.0419426
Middle Position: 0.698706 | Thumb Position: 0.490606 | Amplitude: 0.0409795
Middle Position: 0.705439 | Thumb Position: 0.496589 | Amplitude: 0.0400336
Middle Position: 0.712172 | Thumb Position: 0.502572 | Amplitude: 0.0390913
Middle Position: 0.718905 | Thumb Position: 0.508555 | Amplitude: 0.0381408
Middle Position: 0.725638 | Thumb Position: 0.514538 | Amplitude: 0.0371934
Middle Position: 0.732371 | Thumb Position: 0.520521 | Amplitude: 0.0362674
Middle Position: 0.739104 | Thumb Position: 0.526504 | Amplitude: 0.0353404
Middle Position: 0.745837 | Thumb Position: 0.532487 | Amplitude: 0.0344214
Middle Position: 0.75257 | Thumb Position: 0.53847 | Amplitude: 0.03352
Middle Position: 0.759303 | Thumb Position: 0.544453 | Amplitude: 0.0326123
Middle Position: 0.766036 | Thumb Position: 0.550436 | Amplitude: 0.0317287
Middle Position: 0.772769 | Thumb Position: 0.556419 | Amplitude: 0.030831
Middle Position: 0.779502 | Thumb Position: 0.562402 | Amplitude: 0.0299758
Middle Position: 0.786235 | Thumb Position: 0.568385 | Amplitude: 0.0291136
Middle Position: 0.792968 | Thumb Position: 0.574368 | Amplitude: 0.0282595
Middle Position: 0.799701 | Thumb Position: 0.580351 | Amplitude: 0.0274193
Middle Position: 0.806434 | Thumb Position: 0.586334 | Amplitude: 0.026596
Middle Position: 0.813167 | Thumb Position: 0.592317 | Amplitude: 0.0257839
